antibiotic,method,auroc,auprc,accuracy_at_0.5,precision_at_0.5,recall_at_0.5,f1_at_0.5,prevalence,n
CLINDAMYCIN,retrieval_fraction,0.601202690378477,0.644067215558199,0.5859766277128547,0.6182266009852216,0.7296511627906976,0.6693333333333333,0.5742904841402338,599
CLINDAMYCIN,retrieval_weighted_score,0.6227770177838576,0.6787089775553511,0.5959933222036727,0.6416666666666667,0.6715116279069767,0.65625,0.5742904841402338,599
CLINDAMYCIN,classifier_proba,0.7327405380756954,0.7707559753522942,0.6861435726210351,0.657258064516129,0.9476744186046512,0.7761904761904762,0.5742904841402338,599
CLINDAMYCIN,combined_w_classifier_0.00,0.601202690378477,0.644067215558199,0.5859766277128547,0.6182266009852216,0.7296511627906976,0.6693333333333333,0.5742904841402338,599
CLINDAMYCIN,combined_w_classifier_0.25,0.6740538075695395,0.7276956985468266,0.6193656093489148,0.6620111731843575,0.688953488372093,0.6752136752136753,0.5742904841402338,599
CLINDAMYCIN,combined_w_classifier_0.50,0.7128248974008208,0.7682801029347163,0.664440734557596,0.7072463768115942,0.7093023255813954,0.7082728592162555,0.5742904841402338,599
CLINDAMYCIN,combined_w_classifier_0.75,0.7306771545827633,0.7846470879970651,0.674457429048414,0.717201166180758,0.7151162790697675,0.7161572052401747,0.5742904841402338,599
CLINDAMYCIN,combined_w_classifier_1.00,0.7327405380756954,0.7707559753522942,0.67779632721202,0.7253731343283583,0.7063953488372093,0.7157584683357879,0.5742904841402338,599
ERYTHROMYCIN,retrieval_fraction,0.6060669456066946,0.48367918815734295,0.6043405676126878,0.504950495049505,0.42677824267782427,0.46258503401360546,0.3989983305509182,599
ERYTHROMYCIN,retrieval_weighted_score,0.6285681078568108,0.5223049706822759,0.6193656093489148,0.5333333333333333,0.3682008368200837,0.43564356435643564,0.3989983305509182,599
ERYTHROMYCIN,classifier_proba,0.7749593212459321,0.719648973037598,0.6327212020033389,0.5233415233415234,0.891213389121339,0.6594427244582043,0.3989983305509182,599
ERYTHROMYCIN,combined_w_classifier_0.00,0.6060669456066946,0.48367918815734295,0.6043405676126878,0.504950495049505,0.42677824267782427,0.46258503401360546,0.3989983305509182,599
ERYTHROMYCIN,combined_w_classifier_0.25,0.7041085541608554,0.6167152319672675,0.672787979966611,0.6592592592592592,0.3723849372384937,0.47593582887700536,0.3989983305509182,599
ERYTHROMYCIN,combined_w_classifier_0.50,0.7471582984658299,0.6857347797037681,0.7178631051752922,0.75,0.4393305439330544,0.554089709762533,0.3989983305509182,599
ERYTHROMYCIN,combined_w_classifier_0.75,0.7657194328219433,0.7065360473752367,0.7245409015025042,0.7720588235294118,0.4393305439330544,0.56,0.3989983305509182,599
ERYTHROMYCIN,combined_w_classifier_1.00,0.7749593212459321,0.719648973037598,0.7161936560934892,0.7482014388489209,0.4351464435146444,0.5502645502645502,0.3989983305509182,599
GENTAMICIN,retrieval_fraction,0.6987732848705134,0.9694415961290124,0.9499165275459098,0.9498327759197325,1.0,0.9742710120068611,0.9482470784641068,599
GENTAMICIN,retrieval_weighted_score,0.7310597455701954,0.9744094809517084,0.9499165275459098,0.9498327759197325,1.0,0.9742710120068611,0.9482470784641068,599
GENTAMICIN,classifier_proba,0.6204566106315311,0.9619190818003086,0.9549248747913188,0.9592529711375212,0.9947183098591549,0.9766637856525497,0.9482470784641068,599
GENTAMICIN,combined_w_classifier_0.00,0.6987732848705134,0.9694415961290124,0.9499165275459098,0.9498327759197325,1.0,0.9742710120068611,0.9482470784641068,599
GENTAMICIN,combined_w_classifier_0.25,0.7046228986824171,0.9725825257059465,0.9499165275459098,0.9498327759197325,1.0,0.9742710120068611,0.9482470784641068,599
GENTAMICIN,combined_w_classifier_0.50,0.7045093139482054,0.9725766800301173,0.9549248747913188,0.9608177172061328,0.9929577464788732,0.9766233766233766,0.9482470784641068,599
GENTAMICIN,combined_w_classifier_0.75,0.7045093139482054,0.9725766800301173,0.9549248747913188,0.9608177172061328,0.9929577464788732,0.9766233766233766,0.9482470784641068,599
GENTAMICIN,combined_w_classifier_1.00,0.6204566106315311,0.9619190818003086,0.9549248747913188,0.9608177172061328,0.9929577464788732,0.9766233766233766,0.9482470784641068,599
LEVOFLOXACIN,retrieval_fraction,0.6464186782746341,0.7109226790271947,0.6477462437395659,0.6720183486238532,0.8116343490304709,0.7352572145545797,0.6026711185308848,599
LEVOFLOXACIN,retrieval_weighted_score,0.673194208431295,0.7455678864346504,0.654424040066778,0.6984536082474226,0.7506925207756233,0.7236315086782377,0.6026711185308848,599
LEVOFLOXACIN,classifier_proba,0.8021543797574431,0.8452280729609863,0.7445742904841403,0.7113821138211383,0.9695290858725761,0.82063305978898,0.6026711185308848,599
LEVOFLOXACIN,combined_w_classifier_0.00,0.6464186782746341,0.7109226790271947,0.6477462437395659,0.6720183486238532,0.8116343490304709,0.7352572145545797,0.6026711185308848,599
LEVOFLOXACIN,combined_w_classifier_0.25,0.7305046672408575,0.7862203633793929,0.6911519198664441,0.7189054726368159,0.8005540166204986,0.7575360419397117,0.6026711185308848,599
LEVOFLOXACIN,combined_w_classifier_0.50,0.7681684862310575,0.8121290204381741,0.7345575959933222,0.7451456310679612,0.850415512465374,0.7943078913324709,0.6026711185308848,599
LEVOFLOXACIN,combined_w_classifier_0.75,0.7873379268604949,0.8306469053079215,0.7262103505843072,0.7362110311750599,0.850415512465374,0.7892030848329049,0.6026711185308848,599
LEVOFLOXACIN,combined_w_classifier_1.00,0.8021543797574431,0.8452280729609863,0.7262103505843072,0.7339667458432304,0.8559556786703602,0.7902813299232737,0.6026711185308848,599
OXACILLIN,retrieval_fraction,0.6648133034074678,0.6735472471099734,0.657762938230384,0.6692111959287532,0.7781065088757396,0.719562243502052,0.5642737896494157,599
OXACILLIN,retrieval_weighted_score,0.6897401890770591,0.6994913957122134,0.6527545909849749,0.6934523809523809,0.6893491124260355,0.6913946587537092,0.5642737896494157,599
OXACILLIN,classifier_proba,0.7989129202657055,0.8084158485286046,0.7479131886477463,0.7120181405895691,0.9289940828402367,0.8061617458279846,0.5642737896494157,599
OXACILLIN,combined_w_classifier_0.00,0.6648133034074678,0.6735472471099734,0.657762938230384,0.6692111959287532,0.7781065088757396,0.719562243502052,0.5642737896494157,599
OXACILLIN,combined_w_classifier_0.25,0.750510099979596,0.7464801309301443,0.7111853088480802,0.7223719676549866,0.7928994082840237,0.7559943582510579,0.5642737896494157,599
OXACILLIN,combined_w_classifier_0.50,0.7827030764696549,0.7726487000663358,0.7378964941569283,0.7387862796833773,0.8284023668639053,0.7810320781032078,0.5642737896494157,599
OXACILLIN,combined_w_classifier_0.75,0.7903205694982883,0.7867894351735446,0.7362270450751253,0.7368421052631579,0.8284023668639053,0.7799442896935933,0.5642737896494157,599
OXACILLIN,combined_w_classifier_1.00,0.7989129202657055,0.8084158485286046,0.7212020033388982,0.728,0.8076923076923077,0.7657784011220197,0.5642737896494157,599
TETRACYCLINE,retrieval_fraction,0.5537770216860844,0.8234604037441133,0.7729549248747913,0.7954939341421143,0.9622641509433962,0.8709677419354839,0.7963272120200334,599
TETRACYCLINE,retrieval_weighted_score,0.5742000893562911,0.8393253050084772,0.7696160267111853,0.8043087971274686,0.939203354297694,0.8665377176015474,0.7963272120200334,599
TETRACYCLINE,classifier_proba,0.6394044059525038,0.8380145852016887,0.8313856427378965,0.8369175627240143,0.9790356394129979,0.9024154589371981,0.7963272120200334,599
TETRACYCLINE,combined_w_classifier_0.00,0.5537770216860844,0.8234604037441133,0.7729549248747913,0.7954939341421143,0.9622641509433962,0.8709677419354839,0.7963272120200334,599
TETRACYCLINE,combined_w_classifier_0.25,0.6109134962367254,0.8491030221480915,0.8046744574290484,0.8180212014134276,0.9706498951781971,0.887823585810163,0.7963272120200334,599
TETRACYCLINE,combined_w_classifier_0.50,0.6189727463312369,0.8504558643301606,0.8297161936560935,0.8402903811252269,0.9706498951781971,0.9007782101167315,0.7963272120200334,599
TETRACYCLINE,combined_w_classifier_0.75,0.6313967075643538,0.8550106035606242,0.8297161936560935,0.8402903811252269,0.9706498951781971,0.9007782101167315,0.7963272120200334,599
TETRACYCLINE,combined_w_classifier_1.00,0.6394044059525038,0.8380145852016887,0.8263772954924875,0.8397085610200364,0.9664570230607966,0.898635477582846,0.7963272120200334,599
TRIMETHOPRIM/SULFA,retrieval_fraction,0.5944275389882084,0.8471572490432498,0.7963272120200334,0.8090277777777778,0.9748953974895398,0.8842504743833017,0.7979966611018364,599
TRIMETHOPRIM/SULFA,retrieval_weighted_score,0.622125592171237,0.8733913277961838,0.7846410684474123,0.8132854578096947,0.9476987447698745,0.8753623188405797,0.7979966611018364,599
TRIMETHOPRIM/SULFA,classifier_proba,0.695018845741554,0.8822413315797,0.8414023372287145,0.8462929475587704,0.9790794979079498,0.9078564500484966,0.7979966611018364,599
TRIMETHOPRIM/SULFA,combined_w_classifier_0.00,0.5944275389882084,0.8471572490432498,0.7963272120200334,0.8090277777777778,0.9748953974895398,0.8842504743833017,0.7979966611018364,599
TRIMETHOPRIM/SULFA,combined_w_classifier_0.25,0.664485286489851,0.8764162365750569,0.8080133555926544,0.8201058201058201,0.9728033472803347,0.8899521531100478,0.7979966611018364,599
TRIMETHOPRIM/SULFA,combined_w_classifier_0.50,0.6751011445762303,0.8784732849417982,0.8363939899833055,0.8467153284671532,0.9707112970711297,0.9044834307992202,0.7979966611018364,599
TRIMETHOPRIM/SULFA,combined_w_classifier_0.75,0.6754296483280888,0.8773321267239157,0.8380634390651085,0.8469945355191257,0.9728033472803347,0.9055501460564752,0.7979966611018364,599
TRIMETHOPRIM/SULFA,combined_w_classifier_1.00,0.695018845741554,0.8822413315797,0.8347245409015025,0.8464351005484461,0.9686192468619247,0.9034146341463415,0.7979966611018364,599
VANCOMYCIN,retrieval_fraction,0.6446197591436217,0.6355198904386206,0.5943238731218697,0.5776081424936387,0.7467105263157895,0.6513629842180775,0.5075125208681135,599
VANCOMYCIN,retrieval_weighted_score,0.6715321141837646,0.6743811241311342,0.6327212020033389,0.625748502994012,0.6875,0.6551724137931034,0.5075125208681135,599
VANCOMYCIN,classifier_proba,0.782420829616414,0.804542253962572,0.6828046744574291,0.6357142857142857,0.8782894736842105,0.7375690607734806,0.5075125208681135,599
VANCOMYCIN,combined_w_classifier_0.00,0.6446197591436217,0.6355198904386206,0.5943238731218697,0.5776081424936387,0.7467105263157895,0.6513629842180775,0.5075125208681135,599
VANCOMYCIN,combined_w_classifier_0.25,0.7283173505798393,0.72975699310596,0.67779632721202,0.6646884272997032,0.7368421052631579,0.6989079563182528,0.5075125208681135,599
VANCOMYCIN,combined_w_classifier_0.50,0.7647580285459412,0.7629956318996935,0.7145242070116862,0.6996996996996997,0.7664473684210527,0.7315541601255887,0.5075125208681135,599
VANCOMYCIN,combined_w_classifier_0.75,0.7770796164139162,0.7881478120884032,0.7028380634390651,0.6875,0.7598684210526315,0.721875,0.5075125208681135,599
VANCOMYCIN,combined_w_classifier_1.00,0.782420829616414,0.804542253962572,0.6928213689482471,0.6829268292682927,0.7368421052631579,0.7088607594936709,0.5075125208681135,599
